model,scenario,region,variable,item,unit,year,value
aglink,baseline,ame,nett,osd,1000 t,2020,-14131.9854
aglink,baseline,ame,nett,osd,1000 t,2030,-17400.15073
aglink,baseline,ame,nett,osd,1000 t,2040,-18923.91948
aglink,baseline,ame,nett,pfb,1000 t,2000,806.7576906
aglink,baseline,ame,nett,pfb,1000 t,2010,-59.88409645
aglink,baseline,ame,nett,pfb,1000 t,2020,103.8090355
aglink,baseline,ame,nett,pfb,1000 t,2030,234.3059312
aglink,baseline,ame,nett,pfb,1000 t,2040,265.0829635
aglink,baseline,ame,nett,ric,1000 t,2000,-10889.75154
aglink,baseline,ame,nett,ric,1000 t,2010,-16356.06397
aglink,baseline,ame,nett,ric,1000 t,2020,-24007.9485
aglink,baseline,ame,nett,ric,1000 t,2030,-34499.08338
aglink,baseline,ame,nett,ric,1000 t,2040,-45384.79522
aglink,baseline,ame,nett,rum,1000 t,2000,-863.751257
aglink,baseline,ame,nett,rum,1000 t,2010,-1575.768545
aglink,baseline,ame,nett,rum,1000 t,2020,-1662.692471
aglink,baseline,ame,nett,rum,1000 t,2030,-2544.658872
aglink,baseline,ame,nett,rum,1000 t,2040,-3159.103054
aglink,baseline,ame,nett,vfn,1000 t,2000,-1240.825199
aglink,baseline,ame,nett,vfn,1000 t,2010,-1648.230715
aglink,baseline,ame,nett,vfn,1000 t,2020,-1052.723708
aglink,baseline,ame,nett,vfn,1000 t,2030,-3294.292195
aglink,baseline,ame,nett,vfn,1000 t,2040,-2768.174509
aglink,baseline,ame,nett,wht,1000 t,2000,-40007.13539
aglink,baseline,ame,nett,wht,1000 t,2010,-54456.21373
aglink,baseline,ame,nett,wht,1000 t,2020,-75344.8261
aglink,baseline,ame,nett,wht,1000 t,2030,-90984.87984
aglink,baseline,ame,nett,wht,1000 t,2040,-103572.8801
aglink,baseline,ame,othu,cgr,1000 t,2000,13252.0867
aglink,baseline,ame,othu,cgr,1000 t,2010,25912.1799
aglink,baseline,ame,othu,cgr,1000 t,2020,28297.47571
aglink,baseline,ame,othu,cgr,1000 t,2030,28346.79012
aglink,baseline,ame,othu,cgr,1000 t,2040,31848.54249
aglink,baseline,ame,othu,nrm,1000 t,2000,3833.589161
aglink,baseline,ame,othu,nrm,1000 t,2010,6486.418532
aglink,baseline,ame,othu,nrm,1000 t,2020,8898.920853
aglink,baseline,ame,othu,nrm,1000 t,2030,10628.898
aglink,baseline,ame,othu,nrm,1000 t,2040,12863.53272
aglink,baseline,ame,othu,osd,1000 t,2000,8490.534205
aglink,baseline,ame,othu,osd,1000 t,2010,15089.99448
aglink,baseline,ame,othu,osd,1000 t,2020,25374.09619
aglink,baseline,ame,othu,osd,1000 t,2030,29686.85879
aglink,baseline,ame,othu,osd,1000 t,2040,31882.5949
aglink,baseline,ame,othu,pfb,1000 t,2000,2043.501548
aglink,baseline,ame,othu,pfb,1000 t,2010,1975.956243
aglink,baseline,ame,othu,pfb,1000 t,2020,2131.628927
aglink,baseline,ame,othu,pfb,1000 t,2030,2650.244774
aglink,baseline,ame,othu,pfb,1000 t,2040,3037.49362
aglink,baseline,ame,othu,ric,1000 t,2000,3441.620305
aglink,baseline,ame,othu,ric,1000 t,2010,5213.618487
aglink,baseline,ame,othu,ric,1000 t,2020,7473.908674
aglink,baseline,ame,othu,ric,1000 t,2030,8288.110128
aglink,baseline,ame,othu,ric,1000 t,2040,9779.501172
aglink,baseline,ame,othu,rum,1000 t,2000,3357.865814
aglink,baseline,ame,othu,rum,1000 t,2010,4408.772921
aglink,baseline,ame,othu,rum,1000 t,2020,5290.079725
aglink,baseline,ame,othu,rum,1000 t,2030,6534.25841
aglink,baseline,ame,othu,rum,1000 t,2040,7817.683734
aglink,baseline,ame,othu,vfn,1000 t,2000,14658.00174
aglink,baseline,ame,othu,vfn,1000 t,2010,20941.93946
aglink,baseline,ame,othu,vfn,1000 t,2020,31197.34481
aglink,baseline,ame,othu,vfn,1000 t,2030,37889.86559
aglink,baseline,ame,othu,vfn,1000 t,2040,44517.59343
aglink,baseline,ame,othu,wht,1000 t,2000,12397.90026
aglink,baseline,ame,othu,wht,1000 t,2010,12501.57457
aglink,baseline,ame,othu,wht,1000 t,2020,14859.50921
aglink,baseline,ame,othu,wht,1000 t,2030,15929.26011
aglink,baseline,ame,othu,wht,1000 t,2040,17333.23139
aglink,baseline,ame,prod,cgr,1000 t,2000,88553.11345
aglink,baseline,ame,prod,cgr,1000 t,2010,141830.1509
aglink,baseline,ame,prod,cgr,1000 t,2020,177304.2089
aglink,baseline,ame,prod,cgr,1000 t,2030,205019.0761
aglink,baseline,ame,prod,cgr,1000 t,2040,239125.622
aglink,baseline,ame,prod,dry,1000 t,2000,51024.2669
aglink,baseline,ame,prod,dry,1000 t,2010,73924.5919
aglink,baseline,ame,prod,dry,1000 t,2020,87181.4389
aglink,baseline,ame,prod,dry,1000 t,2030,105242.1577
aglink,baseline,ame,prod,dry,1000 t,2040,130334.2528
aglink,baseline,ame,prod,nrm,1000 t,2000,10569.28318
aglink,baseline,ame,prod,nrm,1000 t,2010,16007.25953
aglink,baseline,ame,prod,nrm,1000 t,2020,22024.91693
aglink,baseline,ame,prod,nrm,1000 t,2030,26143.26393
aglink,baseline,ame,prod,nrm,1000 t,2040,31198.9613
aglink,baseline,ame,prod,osd,1000 t,2000,9124.81433
aglink,baseline,ame,prod,osd,1000 t,2010,11895.69935
aglink,baseline,ame,prod,osd,1000 t,2020,15007.50105
aglink,baseline,ame,prod,osd,1000 t,2030,17969.02273
aglink,baseline,ame,prod,osd,1000 t,2040,20001.17235
aglink,baseline,ame,prod,pfb,1000 t,2000,2842.688325
aglink,baseline,ame,prod,pfb,1000 t,2010,2130.879147
aglink,baseline,ame,prod,pfb,1000 t,2020,2842.872994
aglink,baseline,ame,prod,pfb,1000 t,2030,2924.144246
aglink,baseline,ame,prod,pfb,1000 t,2040,3351.25107
aglink,baseline,ame,prod,ric,1000 t,2000,12924.96476
aglink,baseline,ame,prod,ric,1000 t,2010,19528.00471
aglink,baseline,ame,prod,ric,1000 t,2020,29457.58254
aglink,baseline,ame,prod,ric,1000 t,2030,33713.38791
aglink,baseline,ame,prod,ric,1000 t,2040,39670.10905
aglink,baseline,ame,prod,rum,1000 t,2000,8378.178439
aglink,baseline,ame,prod,rum,1000 t,2010,10890.90343
aglink,baseline,ame,prod,rum,1000 t,2020,13222.47624
aglink,baseline,ame,prod,rum,1000 t,2030,15838.93762
aglink,baseline,ame,prod,rum,1000 t,2040,18848.64358
aglink,baseline,ame,prod,sgc,1000 t,2000,117168.3079
aglink,baseline,ame,prod,sgc,1000 t,2010,126528.8743
aglink,baseline,ame,prod,sgc,1000 t,2020,149553.8146
aglink,baseline,ame,prod,sgc,1000 t,2030,157153.8126
aglink,baseline,ame,prod,sgc,1000 t,2040,169324.5101
aglink,baseline,ame,prod,vfn,1000 t,2000,58709.12372
aglink,baseline,ame,prod,vfn,1000 t,2010,90564.9778
aglink,baseline,ame,prod,vfn,1000 t,2020,123849.6662
aglink,baseline,ame,prod,vfn,1000 t,2030,154237.2267
aglink,baseline,ame,prod,vfn,1000 t,2040,190637.0224
aglink,baseline,ame,prod,wht,1000 t,2000,49208.96093
aglink,baseline,ame,prod,wht,1000 t,2010,60746.25975
aglink,baseline,ame,prod,wht,1000 t,2020,69430.69749
aglink,baseline,ame,prod,wht,1000 t,2030,74410.94819
aglink,baseline,ame,prod,wht,1000 t,2040,79984.11401
aglink,baseline,ame,yild,cgr,t/ha,2000,1.087855705
aglink,baseline,ame,yild,cgr,t/ha,2010,1.355054434
aglink,baseline,ame,yild,cgr,t/ha,2020,1.62594755
aglink,baseline,ame,yild,cgr,t/ha,2030,1.899199022
aglink,baseline,ame,yild,cgr,t/ha,2040,2.163258073
aglink,baseline,ame,yild,dry,t/ha,2000,8.467698131
aglink,baseline,ame,yild,dry,t/ha,2010,10.34105751
aglink,baseline,ame,yild,dry,t/ha,2020,11.90098817
aglink,baseline,ame,yild,dry,t/ha,2030,12.23912031
aglink,baseline,ame,yild,dry,t/ha,2040,13.04970369
aglink,baseline,ame,yild,osd,t/ha,2000,0.702524012
aglink,baseline,ame,yild,osd,t/ha,2010,0.776524723
aglink,baseline,ame,yild,osd,t/ha,2020,0.879162459
aglink,baseline,ame,yild,osd,t/ha,2030,1.016382336
aglink,baseline,ame,yild,osd,t/ha,2040,1.118795254
aglink,baseline,ame,yild,pfb,t/ha,2000,0.545001882
aglink,baseline,ame,yild,pfb,t/ha,2010,0.518236016
aglink,baseline,ame,yild,pfb,t/ha,2020,0.579514478
aglink,baseline,ame,yild,pfb,t/ha,2030,0.542794541
aglink,baseline,ame,yild,pfb,t/ha,2040,0.621578564
aglink,baseline,ame,yild,ric,t/ha,2000,1.569852996
aglink,baseline,ame,yild,ric,t/ha,2010,1.705456045
aglink,baseline,ame,yild,ric,t/ha,2020,1.709520779
aglink,baseline,ame,yild,ric,t/ha,2030,1.828907146
aglink,baseline,ame,yild,ric,t/ha,2040,2.048895925
aglink,baseline,ame,yild,sgc,t/ha,2000,58.14718023
aglink,baseline,ame,yild,sgc,t/ha,2010,60.06815216
aglink,baseline,ame,yild,sgc,t/ha,2020,61.47767469
aglink,baseline,ame,yild,sgc,t/ha,2030,60.37958725
aglink,baseline,ame,yild,sgc,t/ha,2040,61.57254854
aglink,baseline,ame,yild,vfn,t/ha,2000,1.437598966
aglink,baseline,ame,yild,vfn,t/ha,2010,1.74310859
aglink,baseline,ame,yild,vfn,t/ha,2020,1.776818165
aglink,baseline,ame,yild,vfn,t/ha,2030,1.932800196
aglink,baseline,ame,yild,vfn,t/ha,2040,2.139788855
aglink,baseline,ame,yild,wht,t/ha,2000,1.886840679
aglink,baseline,ame,yild,wht,t/ha,2010,2.210738547
aglink,baseline,ame,yild,wht,t/ha,2020,2.571634584
aglink,baseline,ame,yild,wht,t/ha,2030,2.846527247
aglink,baseline,ame,yild,wht,t/ha,2040,3.062367597
aglink,baseline,anz,area,cgr,1000 ha,2000,5282.004
aglink,baseline,anz,area,cgr,1000 ha,2010,5343.724
aglink,baseline,anz,area,cgr,1000 ha,2020,7340.65538
aglink,baseline,anz,area,cgr,1000 ha,2030,5925.021262
aglink,baseline,anz,area,cgr,1000 ha,2040,6055.79705
aglink,baseline,anz,area,grs,1000 ha,2000,441752.7463
aglink,baseline,anz,area,grs,1000 ha,2010,360305.3979
aglink,baseline,anz,area,grs,1000 ha,2020,333393.3762
aglink,baseline,anz,area,grs,1000 ha,2030,324277.3
aglink,baseline,anz,area,grs,1000 ha,2040,308943.3922
aglink,baseline,anz,area,osd,1000 ha,2000,1581.003
aglink,baseline,anz,area,osd,1000 ha,2010,2160.791
aglink,baseline,anz,area,osd,1000 ha,2020,2657.881582
aglink,baseline,anz,area,osd,1000 ha,2030,2391.939448
aglink,baseline,anz,area,osd,1000 ha,2040,2267.159289
aglink,baseline,anz,area,pfb,1000 ha,2000,512.077
aglink,baseline,anz,area,pfb,1000 ha,2010,591
aglink,baseline,anz,area,pfb,1000 ha,2020,298
aglink,baseline,anz,area,pfb,1000 ha,2030,408.6383475
aglink,baseline,anz,area,pfb,1000 ha,2040,405.0127092
aglink,baseline,anz,area,ric,1000 ha,2000,177
aglink,baseline,anz,area,ric,1000 ha,2010,75.783
aglink,baseline,anz,area,ric,1000 ha,2020,45.08406
aglink,baseline,anz,area,ric,1000 ha,2030,50.8431761
aglink,baseline,anz,area,ric,1000 ha,2040,55.21722133
aglink,baseline,anz,area,sgc,1000 ha,2000,403.324
aglink,baseline,anz,area,sgc,1000 ha,2010,308.104
aglink,baseline,anz,area,sgc,1000 ha,2020,355
aglink,baseline,anz,area,sgc,1000 ha,2030,374.4013454
aglink,baseline,anz,area,sgc,1000 ha,2040,370.8722332
aglink,baseline,anz,area,vfn,1000 ha,2000,2313.345
aglink,baseline,anz,area,vfn,1000 ha,2010,2262.533
aglink,baseline,anz,area,vfn,1000 ha,2020,1987.364315
aglink,baseline,anz,area,vfn,1000 ha,2030,2072.356298
aglink,baseline,anz,area,vfn,1000 ha,2040,2250.509223
aglink,baseline,anz,area,wht,1000 ha,2000,12190.3
aglink,baseline,anz,area,wht,1000 ha,2010,13554.404
aglink,baseline,anz,area,wht,1000 ha,2020,12688.91565
